BOAMP_AVIS_NUM,D_11_01_Conditiondelai_Receptcandidat,D_11_02_Conditiondelai_Receptoffres,D_11_03_Conditiondelai_Limiteenvoiinvit,D_11_04_Conditiondelai_Validiteoffre,D_11_04_01_Conditiondelai_Validiteoffre_Jusquau,D_11_04_02_Conditiondelai_Validiteoffre_Dureemois,D_11_04_03_Conditiondelai_Validiteoffre_Dureejour,D_11_05_Conditiondelai_Dureesystemequalification
16-108903,,2018-05-14 11:00:00,,CF_NIV_SUIV,,,90.0,
16-161210,,2018-06-14 11:00:00,,CF_NIV_SUIV,,,,
17-118450,,2018-05-24 11:00:00,,CF_NIV_SUIV,,,120.0,
17-131459,,2018-05-25 11:00:00,,CF_NIV_SUIV,,,,
17-133669,,2018-05-14 15:00:00,,CF_NIV_SUIV,,4.0,,
17-146662,,2018-05-14 11:00:00,,CF_NIV_SUIV,,,90.0,
17-157423,,2018-06-04 11:00:00,,CF_NIV_SUIV,,,90.0,
17-160024,,2018-05-31 08:00:00,,CF_NIV_SUIV,,6.0,,
17-164452,,2018-05-14 11:00:00,,CF_NIV_SUIV,,6.0,,
17-167877,,2018-05-14 23:00:00,,CF_NIV_SUIV,,,,
17-168352,,2018-05-22 11:00:00,,CF_NIV_SUIV,,,,
17-173225,,2018-06-22 15:00:00,,CF_NIV_SUIV,,6.0,,
17-173667,,2018-05-28 11:00:00,,CF_NIV_SUIV,,8.0,,
17-174584,,2018-05-23 11:00:00,,CF_NIV_SUIV,,,180.0,
17-179553,,2018-05-25 11:00:00,,CF_NIV_SUIV,,9.0,,
17-181269,,2018-05-16 14:30:00,,CF_NIV_SUIV,,4.0,,
17-181887,,2018-05-14 11:00:00,,CF_NIV_SUIV,,6.0,,
17-29292,,2018-05-22 11:00:00,,CF_NIV_SUIV,,4.0,,
17-70617,,2018-05-14 11:00:00,,CF_NIV_SUIV,,,,
17-7433,,2018-05-16 16:00:00,,CF_NIV_SUIV,,,180.0,
17-90245,,2018-05-18 11:00:00,,CF_NIV_SUIV,,6.0,,
17-95746,,2018-05-25 11:00:00,,CF_NIV_SUIV,,,,
